Guidelines of Batch,https://d1d34p8vz63oiq.cloudfront.net/373e648a-0579-4218-a032-b060a0eac87f/master.mpd
How to find lectures?,https://d1d34p8vz63oiq.cloudfront.net/b857c796-3a30-4c78-8982-4a8a37063aa1/master.mpd
Demo Lecture By Meenu Gupta Ma'am,https://d1d34p8vz63oiq.cloudfront.net/649ad315-8481-4ec9-b20a-b78a645c31bf/master.mpd
Demo Lecture By Mohd Imran Sir,https://d1d34p8vz63oiq.cloudfront.net/db72ab24-a0db-42cb-9ac6-c6255499203d/master.mpd
Demo lecture by Kushal Anand Sir,https://d1d34p8vz63oiq.cloudfront.net/7b9860fd-e343-4670-bbe2-13a7a2a9055e/master.mpd
Demo Lecture By Ashutosh Sir,https://d1d34p8vz63oiq.cloudfront.net/e6ddc468-d537-4f96-9467-50177121ff4d/master.mpd
Demo Lecture By Lamiya Naseem Ma'am,https://d1d34p8vz63oiq.cloudfront.net/e5897dfe-d6ba-46b8-ac1c-3b35131e5593/master.mpd
Demo lecture by Alok Singh sir,https://d1d34p8vz63oiq.cloudfront.net/a80d541f-67a2-4a58-8412-4046c84aee79/master.mpd
Demo Lecture by Lokesh Sir,https://d1d34p8vz63oiq.cloudfront.net/42d0d480-85a4-41f2-9d4e-8b18c034a9c2/master.mpd
Demo Lecture By Shahnawaz sir (Thermodynamics),https://d1d34p8vz63oiq.cloudfront.net/706033fb-e473-4c5b-b704-d7762f8286ea/master.mpd
Demo Lecture By Shahnawaz sir (Fluid Mechanics),https://d1d34p8vz63oiq.cloudfront.net/2b10034d-4b82-4a6d-9b2d-34237ed5ec9f/master.mpd
Physics 02,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/48dbf4ed-9c27-4fc0-8327-70253d72466b.pdf
Physics 03,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/40599803-67b2-4f0a-919c-e033a8e148aa.pdf
Economics 01,Basics of Economics, Banking System,https://www.youtube.com/embed/ZXbJbMaV2Uo
Economics 02,Monetary Policy, Planning,https://www.youtube.com/embed/jpbPi1LXN2A
Economics 03,Budget & Taxation,https://www.youtube.com/embed/ftAs-hQnW40
Economics 04,Security Market & Trade || Reschedule at @12:30 PM,https://www.youtube.com/embed/WmFfjZmJFco
Economics 01,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/153e3999-78d6-4967-9d57-97e1e396d332.pdf
Economics 02,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/0b77d116-48b0-4dd9-9d18-a511ba3dce68.pdf
Economics 03,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/832a6ca6-1005-4222-a851-f19efb1ef129.pdf
Economics 04,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/b7edd38e-ef98-4105-9a07-23403b201a7d.pdf
Economics (GK and GS),100 Most Expected Questions,https://www.youtube.com/embed/JUvdVwJfClI
Economics (GK and GS),Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/79ebdef6-c728-410f-ac07-81cf5e850ecc.pdf
Chemistry 01,Part 01,https://www.youtube.com/embed/urwgc9e6Yno
Chemistry 02,Part 02,https://www.youtube.com/embed/RE3TSYzUMu8
Chemistry 01,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/02d46b53-9de1-4fee-92c7-c58efcc15cad.pdf
Chemistry 02,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/51d61b8d-250d-46ae-82de-3f937c0ea02e.pdf
General Science (Biology), 100 Most Expected Questions,https://www.youtube.com/embed/SFjuOsXsEKA
General Science (Biology),Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/6b9d65a9-b096-4ca4-aba3-cd11c9137e67.pdf
Biology 01,Part 01,https://www.youtube.com/embed/1JjKmfU9ZiA
Biology 02 ,Disease , The Cell & Classification Biology,One Shot,https://www.youtube.com/embed/vKDUPCpbO5w
Biology 01,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/3da79652-bff0-4829-8ab2-db9af603009f.pdf
Biology 02,Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/d22c131f-26f3-4b4f-8fd1-550dea15b54b.pdf
General Science (Physics + Chemistry),100 Most Expected Questions,https://www.youtube.com/embed/db0_57L0xvU
General Science (Physics + Chemistry),Class Notes,https://d2bps9p1kiy4ka.cloudfront.net/5eb393ee95fab7468a79d189/6eda9023-0b39-45d3-85f4-f9638ca6d183.pdf
